season,team,srs
2010,Charleston Southern,-13.25
2010,Charlotte,3.96
2010,Chattanooga,-8.56
2010,Chicago State,-21.8
2010,Cincinnati,9.98
2010,Clemson,15.71
2010,Cleveland State,0.57
2010,Coastal Carolina,-0.78
2010,Colgate,-11.34
2010,College of Charleston,-0.81
2010,Colorado,7.01
2010,Colorado State,1.35
2010,Columbia,-11.75
2010,Coppin State,-14.89
2010,Cornell,8.76
2010,Creighton,3.59
2010,Dartmouth,-18.46
2010,Davidson,-2.26
2010,Dayton,13.25
2010,DePaul,1.61
2010,Delaware,-7.86
2010,Delaware State,-9.08
2010,Denver,-2.76
2010,Detroit Mercy,1.35
2010,Drake,0.54
2010,Drexel,-0.03
2010,Duke,25.21
2010,Duquesne,0.79
2010,East Carolina,-5.91
2010,East Tennessee State,-0.83
2010,Eastern Illinois,-5.0
2010,Eastern Kentucky,-2.07
2010,Eastern Michigan,-3.46
2010,Eastern Washington,-11.91
2010,Elon,-10.4
2010,Evansville,-4.61
2010,FDU,-15.56
2010,Fairfield,0.4
2010,Florida,11.89
2010,Florida A&M,-18.8
2010,Florida Atlantic,-4.48
2010,Florida International,-12.81
2010,Florida State,14.64
2010,Fordham,-13.18
2010,Fresno State,0.14
2010,Furman,-7.01
2010,Gardner-Webb,-20.32
2010,George Mason,-0.44
2010,George Washington,3.12
2010,Georgetown,17.03
2010,Georgia,7.33
2010,Georgia Southern,-12.57
2010,Georgia State,-3.74
2010,Georgia Tech,14.11
2010,Gonzaga,12.11
2010,Grambling,-23.05
2010,Green Bay,0.33
2010,Hampton,-6.75
2010,Hartford,-13.77
2010,Harvard,1.59
2010,Hawaii,-4.91
2010,High Point,-14.63
2010,Hofstra,1.65
2010,Holy Cross,-8.03
2010,Houston,6.74
2010,Howard,-19.49
2010,IU Indy,1.63
2010,Idaho,-0.19
2010,Idaho State,-10.29
2010,Illinois,11.58
2010,Illinois State,5.73
2010,Illinois-Chicago,-7.58
2010,Indiana,0.76
2010,Indiana State,1.11
2010,Iona,2.31
2010,Iowa,2.12
2010,Iowa State,9.6
2010,Jackson State,-13.21
2010,Jacksonville,-1.71
